abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,"geverfd aardewerk, Lyon",https://data.cultureelerfgoed.nl/term/id/abr/3ace981a-8e1b-438b-8258-febcf14031e6,,
,"geverfd aardewerk, gevlamd, gekamd, gemarmerd",https://data.cultureelerfgoed.nl/term/id/abr/6039f00e-3e4f-48f1-a877-6939380266f7,,
,"geverfd aardewerk, techniek a",https://data.cultureelerfgoed.nl/term/id/abr/377f4200-da94-4ef1-8e6e-8306b3b49277,,
,"geverfd aardewerk, techniek b",https://data.cultureelerfgoed.nl/term/id/abr/9a0362ff-4010-4a2f-ba6f-ab6b6e24c21f,,
,"geverfd aardewerk, techniek c",https://data.cultureelerfgoed.nl/term/id/abr/f054b4e0-49d9-486b-944a-127d397aac93,,
,gladwandig Romeins aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/0fd4db5c-95f6-4046-95f1-453026768996,,
,gladwandig aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/296d46de-88ae-43d4-85ab-eef5f41d9c80,,
,"gladwandig aardewerk, Beneden-Moezel",https://data.cultureelerfgoed.nl/term/id/abr/85faaee7-eed9-497c-a34e-3182a98ba860,,
,"gladwandig aardewerk, Heerlen",https://data.cultureelerfgoed.nl/term/id/abr/e7b8b24b-eb29-451d-b77f-c453238aef55,,
,"gladwandig aardewerk, Low Lands ware 1, oxiderend",https://data.cultureelerfgoed.nl/term/id/abr/91f063c2-09b4-4c41-bf97-facba867c747,,
,"gladwandig aardewerk, Low Lands ware 1, reducerend",https://data.cultureelerfgoed.nl/term/id/abr/076d6ba3-429e-4511-8e0e-fc8d23b233d3,,
,"gladwandig aardewerk, Maasland/Haspengouw",https://data.cultureelerfgoed.nl/term/id/abr/93e18be9-f296-4090-9ec6-4d004b112302,,
,"gladwandig aardewerk, Nijmeegs-Holdeurn/castra LXG",https://data.cultureelerfgoed.nl/term/id/abr/3d6d1e7f-892c-4ce5-8f6f-176bdb6ddb2f,,
,"gladwandig aardewerk, Nijmegen (Ulpia Noviomagus)",https://data.cultureelerfgoed.nl/term/id/abr/79e3ea2c-a4d2-4839-a701-11918eeed7f3,,
,"gladwandig aardewerk, Noord-Gallisch",https://data.cultureelerfgoed.nl/term/id/abr/27e20ee1-1f04-4edb-a717-114bcd0340e4,,
,"gladwandig aardewerk, Noord-Menapisch",https://data.cultureelerfgoed.nl/term/id/abr/59d21887-0ff8-4e29-88f3-eb7f5a8413d6,,
,"gladwandig aardewerk, Rijnland",https://data.cultureelerfgoed.nl/term/id/abr/f3b71c97-0859-4414-8d47-e431a4e612a5,,
,"gladwandig aardewerk, Tienen",https://data.cultureelerfgoed.nl/term/id/abr/dc0dcfcb-e4a9-4c51-9530-0596e82043e3,,
,"gladwandig aardewerk, Tongeren",https://data.cultureelerfgoed.nl/term/id/abr/c90afdc4-52a6-48c5-9815-22d832be9833,,
,"gladwandig aardewerk, zeepwaar",https://data.cultureelerfgoed.nl/term/id/abr/3b92955c-a13f-4165-8a3d-cd0331c1e563,,
,grijs handgevormd aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5b1aa93a-6592-48d8-92d7-a274ab70bce8,,
,grijs handgevormd aardewerk Besentrich versiering,https://data.cultureelerfgoed.nl/term/id/abr/a6470b09-5f83-4a0b-a758-bdd928d7e7a3,,
,grijs handgevormd aardewerk vingerstreepversiering,https://data.cultureelerfgoed.nl/term/id/abr/595f3a54-2c0e-4008-ad78-1adf590a8bdc,,
,grijsbakkend aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/d0134b8f-ca8e-4f2d-a991-14fbb7e54e68,,
